project;officialId;releaseName;id;releaseDate;prevRelease;firstVersion;lastVersion
RAMPART;12312302;1.1;1;2006-12-11;null;true;false
RAMPART;12312303;1.2;2;2007-06-02;2006-12-11;false;false
RAMPART;12312509;1.3;3;2007-09-06;2007-06-02;false;false
RAMPART;12313141;1.4;4;2008-06-12;2007-09-06;false;false
RAMPART;12314038;1.5;5;2010-02-01;2008-06-12;false;false
RAMPART;12316016;1.5.1;6;2011-01-10;2010-02-01;false;false
RAMPART;12316037;1.6.0;7;2011-06-06;2011-01-10;false;false
RAMPART;12318646;1.5.2;8;2011-09-24;2011-06-06;false;false
RAMPART;12316528;1.6.1;9;2011-09-24;2011-09-24;false;false
RAMPART;12318250;1.6.2;10;2012-04-26;2011-09-24;false;false
RAMPART;12320773;1.6.3;11;2015-12-12;2012-04-26;false;false
RAMPART;12334369;1.6.4;12;2015-12-28;2015-12-12;false;false
RAMPART;12316529;1.7.0;13;2016-01-18;2015-12-28;false;false
RAMPART;12334724;1.7.1;14;2017-07-30;2016-01-18;false;true
