project;versionName;commitInMonth;version;yearMonthOfResolution;fixedTicketWithCommit;averageTicketPerMonth;upperBound;lowerBound
RAMPART;1.2;26;2;2007-01;0;2.01;16.51;0
RAMPART;1.2;66;2;2007-02;3;2.01;16.51;0
RAMPART;1.2;26;2;2007-03;0;2.01;16.51;0
RAMPART;1.2;14;2;2007-04;0;2.01;16.51;0
RAMPART;1.2;50;2;2007-05;2;2.01;16.51;0
RAMPART;1.2;13;2;2007-06;0;2.01;16.51;0
RAMPART;1.3;154;3;2007-07;3;2.01;16.51;0
RAMPART;1.3;72;3;2007-08;5;2.01;16.51;0
RAMPART;1.3;16;3;2007-09;3;2.01;16.51;0
RAMPART;1.4;14;4;2007-10;4;2.01;16.51;0
RAMPART;1.4;34;4;2007-11;8;2.01;16.51;0
RAMPART;1.4;28;4;2007-12;3;2.01;16.51;0
RAMPART;1.4;181;4;2008-01;7;2.01;16.51;0
RAMPART;1.4;70;4;2008-02;5;2.01;16.51;0
RAMPART;1.4;94;4;2008-03;0;2.01;16.51;0
RAMPART;1.4;47;4;2008-04;4;2.01;16.51;0
RAMPART;1.4;73;4;2008-05;11;2.01;16.51;0
RAMPART;1.4;148;4;2008-06;5;2.01;16.51;0
RAMPART;1.5;14;5;2008-07;2;2.01;16.51;0
RAMPART;1.5;6;5;2008-08;1;2.01;16.51;0
RAMPART;1.5;2;5;2008-09;0;2.01;16.51;0
RAMPART;1.5;18;5;2008-10;0;2.01;16.51;0
RAMPART;1.5;6;5;2008-11;0;2.01;16.51;0
RAMPART;1.5;4;5;2008-12;0;2.01;16.51;0
RAMPART;1.5;2;5;2009-01;0;2.01;16.51;0
RAMPART;1.5;11;5;2009-02;1;2.01;16.51;0
RAMPART;1.5;32;5;2009-03;1;2.01;16.51;0
RAMPART;1.5;10;5;2009-04;1;2.01;16.51;0
RAMPART;1.5;0;5;2009-05;0;2.01;16.51;0
RAMPART;1.5;4;5;2009-06;1;2.01;16.51;0
RAMPART;1.5;8;5;2009-07;1;2.01;16.51;0
RAMPART;1.5;59;5;2009-08;14;2.01;16.51;0
RAMPART;1.5;21;5;2009-09;5;2.01;16.51;0
RAMPART;1.5;3;5;2009-10;0;2.01;16.51;0
RAMPART;1.5;0;5;2009-11;0;2.01;16.51;0
RAMPART;1.5;3;5;2009-12;0;2.01;16.51;0
RAMPART;1.5;6;5;2010-01;0;2.01;16.51;0
RAMPART;1.5.1;20;6;2010-02;0;2.01;16.51;0
RAMPART;1.5.1;0;6;2010-03;0;2.01;16.51;0
RAMPART;1.5.1;2;6;2010-04;0;2.01;16.51;0
RAMPART;1.5.1;12;6;2010-05;0;2.01;16.51;0
RAMPART;1.5.1;2;6;2010-06;0;2.01;16.51;0
RAMPART;1.5.1;10;6;2010-07;0;2.01;16.51;0
RAMPART;1.5.1;2;6;2010-08;0;2.01;16.51;0
RAMPART;1.5.1;10;6;2010-09;1;2.01;16.51;0
RAMPART;1.5.1;0;6;2010-10;0;2.01;16.51;0
RAMPART;1.5.1;2;6;2010-11;0;2.01;16.51;0
RAMPART;1.5.1;136;6;2010-12;40;2.01;16.51;0
RAMPART;1.5.1;54;6;2011-01;1;2.01;16.51;0
RAMPART;1.6.0;62;7;2011-02;6;2.01;16.51;0
RAMPART;1.6.0;21;7;2011-03;0;2.01;16.51;0
RAMPART;1.6.0;21;7;2011-04;0;2.01;16.51;0
RAMPART;1.6.0;6;7;2011-05;2;2.01;16.51;0
RAMPART;1.6.0;41;7;2011-06;0;2.01;16.51;0
RAMPART;1.5.2;11;8;2011-07;0;2.01;16.51;0
RAMPART;1.5.2;17;8;2011-08;0;2.01;16.51;0
RAMPART;1.5.2;45;8;2011-09;2;2.01;16.51;0
RAMPART;1.6.2;31;10;2011-10;1;2.01;16.51;0
RAMPART;1.6.2;2;10;2011-11;0;2.01;16.51;0
RAMPART;1.6.2;25;10;2011-12;3;2.01;16.51;0
RAMPART;1.6.2;10;10;2012-01;2;2.01;16.51;0
RAMPART;1.6.2;25;10;2012-02;2;2.01;16.51;0
RAMPART;1.6.2;30;10;2012-03;0;2.01;16.51;0
RAMPART;1.6.2;40;10;2012-04;1;2.01;16.51;0
RAMPART;1.6.3;2;11;2012-05;0;2.01;16.51;0
RAMPART;1.6.3;22;11;2012-06;3;2.01;16.51;0
RAMPART;1.6.3;3;11;2012-07;0;2.01;16.51;0
RAMPART;1.6.3;3;11;2012-08;1;2.01;16.51;0
RAMPART;1.6.3;6;11;2012-09;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2012-10;0;2.01;16.51;0
RAMPART;1.6.3;5;11;2012-11;0;2.01;16.51;0
RAMPART;1.6.3;3;11;2012-12;0;2.01;16.51;0
RAMPART;1.6.3;12;11;2013-01;1;2.01;16.51;0
RAMPART;1.6.3;8;11;2013-02;0;2.01;16.51;0
RAMPART;1.6.3;22;11;2013-03;1;2.01;16.51;0
RAMPART;1.6.3;8;11;2013-04;0;2.01;16.51;0
RAMPART;1.6.3;15;11;2013-05;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-06;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-07;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-08;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-09;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-10;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-11;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2013-12;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-01;0;2.01;16.51;0
RAMPART;1.6.3;3;11;2014-02;1;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-03;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-04;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-05;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-06;0;2.01;16.51;0
RAMPART;1.6.3;20;11;2014-07;2;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-08;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-09;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-10;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-11;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2014-12;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-01;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-02;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-03;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-04;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-05;0;2.01;16.51;0
RAMPART;1.6.3;2;11;2015-06;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-07;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-08;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-09;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-10;0;2.01;16.51;0
RAMPART;1.6.3;0;11;2015-11;0;2.01;16.51;0
RAMPART;1.6.3;161;11;2015-12;6;2.01;16.51;0
RAMPART;1.7.0;39;13;2016-01;0;2.01;16.51;0
RAMPART;1.7.1;5;14;2016-02;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-03;0;2.01;16.51;0
RAMPART;1.7.1;2;14;2016-04;0;2.01;16.51;0
RAMPART;1.7.1;1;14;2016-05;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-06;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-07;0;2.01;16.51;0
RAMPART;1.7.1;1;14;2016-08;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-09;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-10;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-11;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2016-12;0;2.01;16.51;0
RAMPART;1.7.1;162;14;2017-01;5;2.01;16.51;0
RAMPART;1.7.1;8;14;2017-02;1;2.01;16.51;0
RAMPART;1.7.1;0;14;2017-03;0;2.01;16.51;0
RAMPART;1.7.1;4;14;2017-04;1;2.01;16.51;0
RAMPART;1.7.1;3;14;2017-05;0;2.01;16.51;0
RAMPART;1.7.1;0;14;2017-06;0;2.01;16.51;0
RAMPART;1.7.1;15;14;2017-07;0;2.01;16.51;0
