project;versionName;commitInRelease;version;releaseDate;fixedTicketWithCommit;averageTicketPerRelease;upperBound;lowerBound
RAMPART;1.1;6475;1;2006-12-11;0;13.31;58.84;0
RAMPART;1.2;182;2;2007-06-02;6;13.31;58.84;0
RAMPART;1.3;239;3;2007-09-06;8;13.31;58.84;0
RAMPART;1.4;577;4;2008-06-12;49;13.31;58.84;0
RAMPART;1.5;337;5;2010-02-01;36;13.31;58.84;0
RAMPART;1.5.1;241;6;2011-01-10;34;13.31;58.84;0
RAMPART;1.6.0;131;7;2011-06-06;7;13.31;58.84;0
RAMPART;1.5.2;65;8;2011-09-24;0;13.31;58.84;0
RAMPART;1.6.1;0;9;2011-09-24;0;13.31;58.84;0
RAMPART;1.6.2;184;10;2012-04-26;11;13.31;58.84;0
RAMPART;1.6.3;228;11;2015-12-12;10;13.31;58.84;0
RAMPART;1.6.4;69;12;2015-12-28;5;13.31;58.84;0
RAMPART;1.7.0;16;13;2016-01-18;0;13.31;58.84;0
RAMPART;1.7.1;223;14;2017-07-30;7;13.31;58.84;0
