915159,RAMPART-286,23/02/2010 04:31:14
915245,RAMPART-286,23/02/2010 09:52:51
943002,RAMPART-294,11/05/2010 08:28:50
943049,RAMPART-279,11/05/2010 10:53:52
943055,RAMPART-285,11/05/2010 11:13:23
943058,RAMPART-291,11/05/2010 11:16:48
946101,RAMPART-294,19/05/2010 12:09:52
998793,RAMPART-304,20/09/2010 08:23:35
1002129,RAMPART-304,28/09/2010 01:59:08
1051436,RAMPART-307,21/12/2010 10:51:10
1051445,RAMPART-306,21/12/2010 11:16:31
1051448,RAMPART-280,21/12/2010 12:07:07
1051455,RAMPART-258,21/12/2010 12:14:14
1051473,RAMPART-154,21/12/2010 01:37:24
1051474,RAMPART-310,21/12/2010 01:44:56
1051483,RAMPART-119,21/12/2010 02:06:19
1051498,RAMPART-290,21/12/2010 03:03:03
1051504,RAMPART-308,21/12/2010 03:12:30
1051506,RAMPART-293,21/12/2010 03:23:59
1051508,RAMPART-276,21/12/2010 03:32:04
1051526,RAMPART-180,21/12/2010 04:28:17
1051532,RAMPART-274,21/12/2010 04:42:45
1051536,RAMPART-270,21/12/2010 05:01:05
1051547,RAMPART-253,21/12/2010 05:35:08
1051693,RAMPART-225,22/12/2010 12:17:52
1051699,RAMPART-288,22/12/2010 12:43:17
1051709,RAMPART-283,22/12/2010 01:15:32
1051766,RAMPART-224,22/12/2010 07:12:40
1051768,RAMPART-314,22/12/2010 07:26:27
1051769,RAMPART-313,22/12/2010 07:38:05
1051777,RAMPART-277,22/12/2010 08:07:05
1051784,RAMPART-254,22/12/2010 09:15:09
1051797,RAMPART-273,22/12/2010 10:09:11
1051827,RAMPART-202,22/12/2010 11:56:01
1051839,RAMPART-314,22/12/2010 12:10:43
1051843,RAMPART-174,22/12/2010 12:17:52
1051853,RAMPART-181,22/12/2010 12:38:46
1051861,RAMPART-315,22/12/2010 12:50:45
1051893,RAMPART-316,22/12/2010 02:39:35
1051930,RAMPART-313,22/12/2010 03:52:33
1052082,RAMPART-136,22/12/2010 11:17:39
1052085,RAMPART-136,22/12/2010 11:21:59
1052119,RAMPART-218,23/12/2010 01:37:47
1052172,RAMPART-278,23/12/2010 06:49:51
1052173,RAMPART-278,23/12/2010 06:50:47
1055819,RAMPART-298,06/01/2011 11:28:05
1072300,RAMPART-322,19/02/2011 11:36:00
1072324,RAMPART-305,19/02/2011 02:29:49
1073746,RAMPART-299,23/02/2011 03:00:38
1074043,RAMPART-317,24/02/2011 06:05:24
1074534,RAMPART-201,25/02/2011 03:26:19
1129515,RAMPART-326,31/05/2011 08:59:22
1129552,RAMPART-327,31/05/2011 10:11:07
1177260,RAMPART-336,29/09/2011 01:06:11
1177279,RAMPART-334,29/09/2011 02:13:56
1177413,RAMPART-336,29/09/2011 09:55:59
1178193,RAMPART-324,02/10/2011 04:37:25
1220746,RAMPART-347,19/12/2011 02:49:05
1221080,RAMPART-350,20/12/2011 03:44:58
1221926,RAMPART-338,21/12/2011 11:55:49
1228870,RAMPART-269,08/01/2012 04:34:56
1235132,RAMPART-354,24/01/2012 05:39:03
1240268,RAMPART-355,03/02/2012 07:06:39
1243894,RAMPART-357,14/02/2012 01:16:18
1327863,RAMPART-363,19/04/2012 10:20:40
1350592,RAMPART-375,15/06/2012 02:04:10
1353717,RAMPART-376,25/06/2012 09:52:18
1353719,RAMPART-377,25/06/2012 09:59:09
1377230,RAMPART-358,25/08/2012 09:33:18
1438295,RAMPART-384,25/01/2013 03:22:28
1456077,RAMPART-400,13/03/2013 07:24:42
1566329,RAMPART-409,09/02/2014 06:46:43
1610243,RAMPART-415,13/07/2014 05:36:04
1610817,RAMPART-415,15/07/2014 09:16:28
1611122,RAMPART-415,16/07/2014 08:14:24
1612073,RAMPART-416,20/07/2014 12:56:50
1719525,RAMPART-367,11/12/2015 09:11:52
1721059,RAMPART-405,20/12/2015 09:14:14
1721721,RAMPART-381,26/12/2015 11:21:04
1721749,RAMPART-378,26/12/2015 09:08:50
1721751,RAMPART-379,26/12/2015 09:16:09
1780752,RAMPART-417,29/01/2017 12:16:27
1780752,RAMPART-433,29/01/2017 12:16:27
1780787,RAMPART-331,29/01/2017 01:39:06
1780826,RAMPART-287,29/01/2017 06:05:48
1780829,RAMPART-287,29/01/2017 07:14:29
1780833,RAMPART-426,29/01/2017 07:28:03
1780940,RAMPART-339,30/01/2017 05:52:20
1781007,RAMPART-423,31/01/2017 01:05:40
1781860,RAMPART-390,06/02/2017 11:09:33
1791842,RAMPART-440,19/04/2017 12:16:20
